rcp_path,proto_type,rcp_usage,hot_path,rcp_reference,kafka_present_msgs,kafka_value_count,kafka_nondefault_msgs,kafka_types,kafka_sample,pulsar_present_msgs,pulsar_value_count,pulsar_nondefault_msgs,pulsar_types,pulsar_sample,naming_match,type_match,verdict
fixture.externalRef[].provider,enum (Provider),filter,yes,Filters on Provider.SPORTEX; GameStateToFootballFixtureConverter.java:107,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.externalRef[].externalId,string,mapping,yes,GameStateToFootballFixtureConverter.java:108,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.group.id,string,mapping,yes,GameStateFixtureToFixtureGroupConverter.java:22,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.group.description,string,mapping,yes,GameStateFixtureToFixtureGroupConverter.java:23,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.attributes.soccerAttributes.penaltyShootoutFormat,enum,mapping,yes,GameStateToFootballFixtureConverter.java:125,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.attributes.soccerAttributes.homeParticipantRef,string,business,yes,Side resolution; FootballConverter.java:13,10,10,10,string×10,"""294185"" | ""311107"" | ""61727""",10,10,10,string×10,"""7639"" | ""2621"" | ""7865""",identical,match,✓ both populated
fixture.attributes.soccerAttributes.awayParticipantRef,string,business,yes,Side resolution; FootballConverter.java:17,10,10,10,string×10,"""107786"" | ""311108"" | ""16804""",10,10,10,string×10,"""5038"" | ""43033"" | ""4468""",identical,match,✓ both populated
fixture.attributes.soccerAttributes.firstLegScore.homeParticipant,int32,mapping,yes,GameStateFixtureToFootballFirstLegScoreConverter.java:32,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
fixture.attributes.soccerAttributes.firstLegScore.awayParticipant,int32,mapping,yes,GameStateFixtureToFootballFirstLegScoreConverter.java:33,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].id,string,mapping,yes,FootballTeamConverter.java:45 / FootballPlayerConverter.java:41,10,20,10,string×20,"""294185"" | ""107786"" | ""311107""",10,20,10,string×20,"""7639"" | ""5038"" | ""2621""",identical,match,✓ both populated
participants[].name,string,mapping,yes,FootballTeamConverter.java:48,10,20,10,string×20,"""Swedru All Blacks"" | ""Bechem United"" | ""FC Asia Talas""",10,20,10,string×20,"""Trelleborgs FF"" | ""Jönköpings Södra"" | ""Austria Wien II""",identical,match,✓ both populated
participants[].type,enum (TEAM|PLAYER),filter,yes,GameStateToFixtureContextConverter.java:68/74,10,20,10,string×20,"""TEAM"" | ""TEAM"" | ""TEAM""",10,20,10,string×20,"""TEAM"" | ""TEAM"" | ""TEAM""",identical,match,✓ both populated
participants[].externalRef[].provider,enum,mapping,yes,FootballTeamConverter.java:52,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].externalRef[].externalId,string,mapping,yes,FootballTeamConverter.java:52,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.teamAttributes.soccerTeamAttributes.jerseyColour,string,mapping,yes,FootballTeamConverter.java:50,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.teamAttributes.soccerTeamAttributes.formation.value,string,mapping,yes,FootballTeamConverter.java:59 (hasFormation gate),10,20,10,string×20,"""Null"" | ""Null"" | ""Null""",10,20,10,string×20,"""Null"" | ""Null"" | ""Null""",identical,match,✓ both populated
participants[].info.playerAttributes.soccerPlayerAttributes.parentParticipantRef,string,business,yes,GameStateToFixtureContextConverter.java:103,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.playerAttributes.soccerPlayerAttributes.shirtNumber,int32,mapping,yes,FootballPlayerConverter.java:50,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.playerAttributes.soccerPlayerAttributes.position,enum,mapping,yes,FootballPlayerConverter.java:52-53,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.playerAttributes.soccerPlayerAttributes.playerPosition,enum,mapping,yes,FootballPlayerConverter.java:55-56,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.playerAttributes.soccerPlayerAttributes.startingPosition,enum,mapping,yes,FootballPlayerConverter.java:58-61,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
participants[].info.playerAttributes.soccerPlayerAttributes.formationPlace.value,int32,mapping,yes,FootballPlayerConverter.java:67 (hasFormationPlace gate),0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
incidents[].id,string,mapping,yes,GameStateIncidentToFootballIncidentConverter.java:54,2,6,2,string×6,"""4a0ce0a4-8010-4593-811a-4dd605378ee6"" | ""b1c54b81-fa99-47a6-9735-74fb146d16f1"" | ""f611bc48-45a6-4154-84c0-17ef1dd100cc""",2,2,2,string×2,"""a2845026-276c-4cff-89f9-cac7a033b244"" | ""a2845026-276c-4cff-89f9-cac7a033b244""",identical,match,✓ both populated
incidents[].type.soccerIncidentType,enum,business,yes,Routing key for incident-type converters; …ConverterStrategy.get(type),2,6,2,string×6,"""CANCELLED"" | ""CANCELLED"" | ""PERIOD_TRANSITION""",2,2,2,string×2,"""PERIOD_TRANSITION"" | ""PERIOD_TRANSITION""",identical,match,✓ both populated
incidents[].time.soccerIncidentTime.period,message (Period),business,yes,GameStateToFixtureContextConverter.java:121,2,6,2,string×6,"""SECOND_HALF"" | ""SECOND_HALF"" | ""END_OF_MATCH""",2,2,2,string×2,"""FIRST_HALF"" | ""FIRST_HALF""",identical,match,✓ both populated
incidents[].time.soccerIncidentTime.clock.minutes,int32,business,yes,Sort + duration; GameStateToFixtureContextConverter.java:126-128,2,6,2,number×6,77 | 89 | 90,0,0,0,(none),,identical (k-only data sample),n/a (no data on one side),! only-in-Kafka-sample
incidents[].time.soccerIncidentTime.clock.seconds,int32,business,yes,Sort + duration; GameStateToFixtureContextConverter.java:126-128,0,0,0,(none),,2,2,2,number×2,1 | 1,identical (p-only data sample),n/a (no data on one side),! only-in-Pulsar-sample
incidents[].participantRef[],repeated string,business,yes,Player attribution; many incident converters,2,4,2,string×4,"""107786"" | ""294185"" | ""107786""",0,0,0,(none),,identical (k-only data sample),n/a (no data on one side),! only-in-Kafka-sample
incidents[].externalRef[].provider,enum,mapping,yes,GameStateIncidentToFootballIncidentConverter.java:60,2,4,2,string×4,"""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER"" | ""UNKNOWN_PROVIDER""",0,0,0,(none),,identical (k-only data sample),n/a (no data on one side),! only-in-Kafka-sample
incidents[].externalRef[].externalId,string,mapping,yes,GameStateIncidentToFootballIncidentConverter.java:60,2,4,2,string×4,"""4a0ce0a4-8010-4593-811a-4dd605378ee6"" | ""b1c54b81-fa99-47a6-9735-74fb146d16f1"" | ""4a0ce0a4-8010-4593-811a-4dd605378ee6""",0,0,0,(none),,identical (k-only data sample),n/a (no data on one side),! only-in-Kafka-sample
incidents[].lastModified,google.protobuf.Timestamp,mapping,yes,Timestamps.toMillis(); GameStateIncidentToFootballDurationConverter.java:57,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
incidents[].qualifiers.soccerIncidentQualifiers.qualifiers[].qualifier,enum,business,yes,"Filter by qualifier (ASSISTANT_PARTICIPANT_REF, FOUL_WON, INJURY_TIME_UPDATE, SHOOTOUT_ATTEMPT_STATE, EXTRA_TIME_QUALIFIERS, OUT_PARTICIPANT_REF…)",2,2,2,string×2,"""END_OF_MATCH"" | ""END_OF_MATCH""",2,2,2,string×2,"""START_OF_FIRST_HALF"" | ""START_OF_FIRST_HALF""",identical,match,✓ both populated
incidents[].qualifiers.soccerIncidentQualifiers.qualifiers[].value,string,business,yes,Numeric-as-string in some cases (Integer.parseInt),0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
incidents[].qualifiers.soccerIncidentQualifiers.qualifiers[].details.foulWonDetails.playerId.value,string,mapping,yes,GameStateIncidentToFootballFoulIncidentConverter.java:67,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
stats.matchStat[].participantRef,string,mapping,yes,GameStateFixtureStatsToFootballStatsConverter.java:49,10,60,10,string×60,"""107786"" | ""107786"" | ""107786""",8,48,8,string×48,"""4468"" | ""4468"" | ""4468""",identical,match,✓ both populated
stats.matchStat[].type.soccerStatType,enum,mapping,yes,GameStateFixtureStatsToFootballStatsConverter.java:50,10,60,10,string×60,"""BALL_POSSESSION"" | ""ATTACKS"" | ""DANGEROUS_ATTACKS""",8,48,8,string×48,"""BALL_POSSESSION"" | ""ATTACKS"" | ""DANGEROUS_ATTACKS""",identical,match,✓ both populated
stats.matchStat[].value,double,mapping,yes,cast (int) stat.getValue(); …:51,0,0,0,(none),,8,16,8,number×16,50 | 50 | 50,identical (p-only data sample),n/a (no data on one side),! only-in-Pulsar-sample
stats.periodStat[].period.soccerPeriod,enum,mapping,yes,GameStateFixtureStatsToFootballStatsConverter.java:57,0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
stats.periodStat[].stat.matchStat[].participantRef,string,mapping,yes,Nested through convertStat(),0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
stats.periodStat[].stat.matchStat[].type.soccerStatType,enum,mapping,yes,Nested through convertStat(),0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
stats.periodStat[].stat.matchStat[].value,double,mapping,yes,Nested through convertStat(),0,0,0,(none),,0,0,0,(none),,identical,n/a (no data on one side),— upstream-empty
